"","CUST_id","week","store_choice","brand","age_bins","gender","educ","income_level","density_cat","kids","store1_dist","store1_rtg","store2_rtg","store2_dist","visits"
"1","CUST_1270",4,"store1","store","30-39","female","Less HS","low","greater urban",2,2.4,5,4.1,2.4,18
"2","CUST_1270",7.5,"store1","store","30-39","female","Less HS","low","greater urban",2,2.4,5,4.1,2.4,18
"3","CUST_1270",6.5,"store1","store","30-39","female","Less HS","low","greater urban",2,2.4,5,4.1,2.4,18
"4","CUST_1270",18,"store1","store","30-39","female","Less HS","low","greater urban",2,2.4,5,4.1,2.4,18
"5","CUST_1270",5.5,"store2","store","30-39","female","Less HS","low","greater urban",2,2.4,5,4.1,2.4,18
"6","CUST_1270",26.5,"store1","store","30-39","female","Less HS","low","greater urban",2,2.4,5,4.1,2.4,18
"7","CUST_1270",15,"store1","store","30-39","female","Less HS","low","greater urban",2,2.4,5,4.1,2.4,18
"8","CUST_1270",15.5,"store1","store","30-39","female","Less HS","low","greater urban",2,2.4,5,4.1,2.4,18
"9","CUST_1270",22.5,"store1","store","30-39","female","Less HS","low","greater urban",2,2.4,5,4.1,2.4,18
"10","CUST_1270",3,"store1","store","30-39","female","Less HS","low","greater urban",2,2.4,5,4.1,2.4,18
"11","CUST_1270",16.5,"store1","store","30-39","female","Less HS","low","greater urban",2,2.4,5,4.1,2.4,18
"12","CUST_1270",2.5,"store1","store","30-39","female","Less HS","low","greater urban",2,2.4,5,4.1,2.4,18
"13","CUST_1270",24.5,"store1","store","30-39","female","Less HS","low","greater urban",2,2.4,5,4.1,2.4,18
"14","CUST_1270",25.5,"store1","store","30-39","female","Less HS","low","greater urban",2,2.4,5,4.1,2.4,18
"15","CUST_1270",0.5,"store2","store","30-39","female","Less HS","low","greater urban",2,2.4,5,4.1,2.4,18
"16","CUST_1270",19,"store2","store","30-39","female","Less HS","low","greater urban",2,2.4,5,4.1,2.4,18
"17","CUST_1270",24,"store1","store","30-39","female","Less HS","low","greater urban",2,2.4,5,4.1,2.4,18
"18","CUST_1270",25,"store2","store","30-39","female","Less HS","low","greater urban",2,2.4,5,4.1,2.4,18
"19","CUST_402",7.5,"store2","store","30-39","female","Some College","low","greater urban",0,2.9,4.1,5,2.9,7
"20","CUST_402",16.5,"store2","store","30-39","female","Some College","low","greater urban",0,2.9,4.1,5,2.9,7
"21","CUST_402",23,"store1","store","30-39","female","Some College","low","greater urban",0,2.9,4.1,5,2.9,7
"22","CUST_402",26.5,"store1","store","30-39","female","Some College","low","greater urban",0,2.9,4.1,5,2.9,7
"23","CUST_402",2,"store2","store","30-39","female","Some College","low","greater urban",0,2.9,4.1,5,2.9,7
"24","CUST_402",15.5,"store2","store","30-39","female","Some College","low","greater urban",0,2.9,4.1,5,2.9,7
"25","CUST_402",1,"store1","store","30-39","female","Some College","low","greater urban",0,2.9,4.1,5,2.9,7
"26","CUST_1618",8.5,"store1","store","18-29","male","College","low","urban",0,0.2,4.3,4.4,0.7,12
"27","CUST_1618",27,"store1","store","18-29","male","College","low","urban",0,0.2,4.3,4.4,0.7,12
"28","CUST_1618",3,"store1","store","18-29","male","College","low","urban",0,0.2,4.3,4.4,0.7,12
"29","CUST_1618",16,"store1","store","18-29","male","College","low","urban",0,0.2,4.3,4.4,0.7,12
"30","CUST_1618",23,"store1","store","18-29","male","College","low","urban",0,0.2,4.3,4.4,0.7,12
"31","CUST_1618",18,"store1","store","18-29","male","College","low","urban",0,0.2,4.3,4.4,0.7,12
"32","CUST_1618",3.5,"store2","store","18-29","male","College","low","urban",0,0.2,4.3,4.4,0.7,12
"33","CUST_1618",24.5,"store1","store","18-29","male","College","low","urban",0,0.2,4.3,4.4,0.7,12
"34","CUST_1618",20.5,"store1","store","18-29","male","College","low","urban",0,0.2,4.3,4.4,0.7,12
"35","CUST_1618",14,"store1","store","18-29","male","College","low","urban",0,0.2,4.3,4.4,0.7,12
"36","CUST_1618",8,"store1","store","18-29","male","College","low","urban",0,0.2,4.3,4.4,0.7,12
"37","CUST_1618",21,"store1","store","18-29","male","College","low","urban",0,0.2,4.3,4.4,0.7,12
"38","CUST_1695",16,"store1","store","50-59","male","College","low","suburban",0,4.5,4.2,4.4,5.6,5
"39","CUST_1695",6.5,"store1","store","50-59","male","College","low","suburban",0,4.5,4.2,4.4,5.6,5
"40","CUST_1695",11.5,"store1","store","50-59","male","College","low","suburban",0,4.5,4.2,4.4,5.6,5
"41","CUST_1695",5.5,"store1","store","50-59","male","College","low","suburban",0,4.5,4.2,4.4,5.6,5
"42","CUST_1695",7.5,"store1","store","50-59","male","College","low","suburban",0,4.5,4.2,4.4,5.6,5
"43","CUST_1000",12.5,"store1","store","30-39","female","HS","low","urban",1,0.7,4.3,4.4,1.5,8
"44","CUST_1000",24,"store1","store","30-39","female","HS","low","urban",1,0.7,4.3,4.4,1.5,8
"45","CUST_1000",8.5,"store1","store","30-39","female","HS","low","urban",1,0.7,4.3,4.4,1.5,8
"46","CUST_1000",9.5,"store1","store","30-39","female","HS","low","urban",1,0.7,4.3,4.4,1.5,8
"47","CUST_1000",27,"store1","store","30-39","female","HS","low","urban",1,0.7,4.3,4.4,1.5,8
"48","CUST_1000",17.5,"store1","store","30-39","female","HS","low","urban",1,0.7,4.3,4.4,1.5,8
"49","CUST_1000",11.5,"store1","store","30-39","female","HS","low","urban",1,0.7,4.3,4.4,1.5,8
"50","CUST_1000",13,"store1","store","30-39","female","HS","low","urban",1,0.7,4.3,4.4,1.5,8
"51","CUST_1775",11,"store2","store","60-69","female","Some College","low","suburban",0,1,4.4,4.8,5,3
"52","CUST_1775",16.5,"store1","store","60-69","female","Some College","low","suburban",0,1,4.4,4.8,5,3
"53","CUST_1775",3,"store1","store","60-69","female","Some College","low","suburban",0,1,4.4,4.8,5,3
"54","CUST_919",13,"store1","store","60-69","female","Some College","low","exurban",0,5.9,4.4,4.4,8.4,3
"55","CUST_919",8.5,"store1","store","60-69","female","Some College","low","exurban",0,5.9,4.4,4.4,8.4,3
"56","CUST_919",19.5,"store1","store","60-69","female","Some College","low","exurban",0,5.9,4.4,4.4,8.4,3
"57","CUST_1569",22,"store1","store","70+","female","Grad School","low","suburban",0,1.9,4.4,4.2,2.2,2
"58","CUST_1569",26,"store1","store","70+","female","Grad School","low","suburban",0,1.9,4.4,4.2,2.2,2
"59","CUST_1943",19,"store1","store","60-69","female","Some College","low","urban",0,1,4.4,4.3,1.5,11
"60","CUST_1943",21,"store1","store","60-69","female","Some College","low","urban",0,1,4.4,4.3,1.5,11
"61","CUST_1943",24.5,"store1","store","60-69","female","Some College","low","urban",0,1,4.4,4.3,1.5,11
"62","CUST_1943",14.5,"store1","store","60-69","female","Some College","low","urban",0,1,4.4,4.3,1.5,11
"63","CUST_1943",6.5,"store1","store","60-69","female","Some College","low","urban",0,1,4.4,4.3,1.5,11
"64","CUST_1943",8,"store1","store","60-69","female","Some College","low","urban",0,1,4.4,4.3,1.5,11
"65","CUST_1943",1,"store1","store","60-69","female","Some College","low","urban",0,1,4.4,4.3,1.5,11
"66","CUST_1943",25,"store1","store","60-69","female","Some College","low","urban",0,1,4.4,4.3,1.5,11
"67","CUST_1943",14,"store1","store","60-69","female","Some College","low","urban",0,1,4.4,4.3,1.5,11
"68","CUST_1943",27,"store1","store","60-69","female","Some College","low","urban",0,1,4.4,4.3,1.5,11
"69","CUST_1943",23.5,"store1","store","60-69","female","Some College","low","urban",0,1,4.4,4.3,1.5,11
"70","CUST_345",22,"store1","store","18-29","female","Some College","lower-mid","suburban",1,1.4,5,4.4,1.4,11
"71","CUST_345",15.5,"store2","store","18-29","female","Some College","lower-mid","suburban",1,1.4,5,4.4,1.4,11
"72","CUST_345",26,"store1","store","18-29","female","Some College","lower-mid","suburban",1,1.4,5,4.4,1.4,11
"73","CUST_345",12.5,"store2","store","18-29","female","Some College","lower-mid","suburban",1,1.4,5,4.4,1.4,11
"74","CUST_345",16.5,"store2","store","18-29","female","Some College","lower-mid","suburban",1,1.4,5,4.4,1.4,11
"75","CUST_345",4.5,"store1","store","18-29","female","Some College","lower-mid","suburban",1,1.4,5,4.4,1.4,11
"76","CUST_345",11.5,"store1","store","18-29","female","Some College","lower-mid","suburban",1,1.4,5,4.4,1.4,11
"77","CUST_345",25.5,"store1","store","18-29","female","Some College","lower-mid","suburban",1,1.4,5,4.4,1.4,11
"78","CUST_345",20,"store2","store","18-29","female","Some College","lower-mid","suburban",1,1.4,5,4.4,1.4,11
"79","CUST_345",23.5,"store1","store","18-29","female","Some College","lower-mid","suburban",1,1.4,5,4.4,1.4,11
"80","CUST_345",19.5,"store2","store","18-29","female","Some College","lower-mid","suburban",1,1.4,5,4.4,1.4,11
"81","CUST_1783",19.5,"store1","store","50-59","female","Some College","lower-mid","greater urban",0,3.6,4.4,5,3.7,4
"82","CUST_1783",8,"store1","store","50-59","female","Some College","lower-mid","greater urban",0,3.6,4.4,5,3.7,4
"83","CUST_1783",15.5,"store1","store","50-59","female","Some College","lower-mid","greater urban",0,3.6,4.4,5,3.7,4
"84","CUST_1783",9,"store1","store","50-59","female","Some College","lower-mid","greater urban",0,3.6,4.4,5,3.7,4
"85","CUST_848",20,"store1","store","40-49","female","Some College","lower-mid","exurban",1,6.1,4.4,4.4,7.9,8
"86","CUST_848",1.5,"store1","store","40-49","female","Some College","lower-mid","exurban",1,6.1,4.4,4.4,7.9,8
"87","CUST_848",17.5,"store1","store","40-49","female","Some College","lower-mid","exurban",1,6.1,4.4,4.4,7.9,8
"88","CUST_848",14,"store1","store","40-49","female","Some College","lower-mid","exurban",1,6.1,4.4,4.4,7.9,8
"89","CUST_848",7,"store1","store","40-49","female","Some College","lower-mid","exurban",1,6.1,4.4,4.4,7.9,8
"90","CUST_848",6,"store1","store","40-49","female","Some College","lower-mid","exurban",1,6.1,4.4,4.4,7.9,8
"91","CUST_848",8,"store1","store","40-49","female","Some College","lower-mid","exurban",1,6.1,4.4,4.4,7.9,8
"92","CUST_848",9,"store1","store","40-49","female","Some College","lower-mid","exurban",1,6.1,4.4,4.4,7.9,8
"93","CUST_1924",22,"store2","store","40-49","female","College","lower-mid","urban",0,0.9,4.1,5,0.9,7
"94","CUST_1924",15.5,"store2","store","40-49","female","College","lower-mid","urban",0,0.9,4.1,5,0.9,7
"95","CUST_1924",4,"store2","store","40-49","female","College","lower-mid","urban",0,0.9,4.1,5,0.9,7
"96","CUST_1924",5,"store1","store","40-49","female","College","lower-mid","urban",0,0.9,4.1,5,0.9,7
"97","CUST_1924",25,"store2","store","40-49","female","College","lower-mid","urban",0,0.9,4.1,5,0.9,7
"98","CUST_1924",25.5,"store1","store","40-49","female","College","lower-mid","urban",0,0.9,4.1,5,0.9,7
"99","CUST_1924",16.5,"store1","store","40-49","female","College","lower-mid","urban",0,0.9,4.1,5,0.9,7
"100","CUST_258",11.5,"store2","store","70+","female","Grad School","lower-mid","greater urban",0,1.9,4,4.1,2,8
"101","CUST_258",3,"store1","store","70+","female","Grad School","lower-mid","greater urban",0,1.9,4,4.1,2,8
"102","CUST_258",20.5,"store1","store","70+","female","Grad School","lower-mid","greater urban",0,1.9,4,4.1,2,8
"103","CUST_258",21,"store2","store","70+","female","Grad School","lower-mid","greater urban",0,1.9,4,4.1,2,8
"104","CUST_258",10.5,"store2","store","70+","female","Grad School","lower-mid","greater urban",0,1.9,4,4.1,2,8
"105","CUST_258",8,"store1","store","70+","female","Grad School","lower-mid","greater urban",0,1.9,4,4.1,2,8
"106","CUST_258",14.5,"store2","store","70+","female","Grad School","lower-mid","greater urban",0,1.9,4,4.1,2,8
"107","CUST_258",17.5,"store1","store","70+","female","Grad School","lower-mid","greater urban",0,1.9,4,4.1,2,8
"108","CUST_1183",24.5,"store1","store","40-49","female","Grad School","lower-mid","suburban",2,0.3,4.2,4.2,1.7,16
"109","CUST_1183",1.5,"store2","store","40-49","female","Grad School","lower-mid","suburban",2,0.3,4.2,4.2,1.7,16
"110","CUST_1183",4,"store2","store","40-49","female","Grad School","lower-mid","suburban",2,0.3,4.2,4.2,1.7,16
"111","CUST_1183",22.5,"store1","store","40-49","female","Grad School","lower-mid","suburban",2,0.3,4.2,4.2,1.7,16
"112","CUST_1183",25,"store2","store","40-49","female","Grad School","lower-mid","suburban",2,0.3,4.2,4.2,1.7,16
"113","CUST_1183",10,"store1","store","40-49","female","Grad School","lower-mid","suburban",2,0.3,4.2,4.2,1.7,16
"114","CUST_1183",10.5,"store1","store","40-49","female","Grad School","lower-mid","suburban",2,0.3,4.2,4.2,1.7,16
"115","CUST_1183",12.5,"store1","store","40-49","female","Grad School","lower-mid","suburban",2,0.3,4.2,4.2,1.7,16
"116","CUST_1183",14,"store1","store","40-49","female","Grad School","lower-mid","suburban",2,0.3,4.2,4.2,1.7,16
"117","CUST_1183",3,"store2","store","40-49","female","Grad School","lower-mid","suburban",2,0.3,4.2,4.2,1.7,16
"118","CUST_1183",20.5,"store2","store","40-49","female","Grad School","lower-mid","suburban",2,0.3,4.2,4.2,1.7,16
"119","CUST_1183",7.5,"store1","store","40-49","female","Grad School","lower-mid","suburban",2,0.3,4.2,4.2,1.7,16
"120","CUST_1183",6,"store1","store","40-49","female","Grad School","lower-mid","suburban",2,0.3,4.2,4.2,1.7,16
"121","CUST_1183",26,"store1","store","40-49","female","Grad School","lower-mid","suburban",2,0.3,4.2,4.2,1.7,16
"122","CUST_1183",25.5,"store1","store","40-49","female","Grad School","lower-mid","suburban",2,0.3,4.2,4.2,1.7,16
"123","CUST_1183",8,"store1","store","40-49","female","Grad School","lower-mid","suburban",2,0.3,4.2,4.2,1.7,16
